Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:05:56,7.445717767079627;87.7381384944923;35.67422822637312,95.00563256509098,4;4;4,7.4457177670796265e-06;8.77381384944923e-05;3.567422822637312e-05,43.11653666666666;5.882384999999999 
22:05:59,113.41969223976153;1209.0263236077608;967.1015981992035,1552.3833866038742,4;4;4,0.00011341969223976153;0.0012090263236077608;0.0009671015981992035,43.11653666666666;5.882384999999999 
22:06:03,338.52390400568646;154.7832668590541;666.3287676620655,763.2498410722791,26;26;26,0.0003385239040056865;0.0001547832668590541;0.0006663287676620655,43.11653666666666;5.882384999999999 
22:06:06,53.93063937505089;1142.7225248718264;785.6136304791388,1387.7723369153373,2;2;2,5.393063937505089e-05;0.0011427225248718264;0.0007856136304791388,43.11653666666666;5.882384999999999 
22:06:09,66.36677122751864;219.01271431287128;912.346705023431,940.6102420880652,4;4;4,6.636677122751865e-05;0.0002190127143128713;0.0009123467050234311,43.11653666666666;5.882384999999999 
22:06:13,107.28642095565795;287.04295690218663;47.59161638579101,310.1112658044488,20;20;20,0.00010728642095565795;0.0002870429569021866;4.759161638579101e-05,43.11653666666666;5.882384999999999 
22:06:16,1892.8863835302986;941.505462586087;1751.894092327758,2745.648249096514,44;44;44,0.0018928863835302988;0.0009415054625860871;0.001751894092327758,43.11653666666666;5.882384999999999 
22:06:19,112.170841738383;804.0321490319553;378.62428785323664,895.7713691370205,7;7;7,0.00011217084173838301;0.0008040321490319553;0.0003786242878532367,43.11653666666666;5.882384999999999 
22:06:23,105.83743015925079;311.58913532892944;569.265712493273,657.5354000342628,9;9;9,0.00010583743015925079;0.00031158913532892946;0.0005692657124932729,43.11653666666666;5.882384999999999 
22:06:26,267.90929530143706;258.9746833769469;1369.09740928966,1418.8978093093108,11;11;11,0.00026790929530143704;0.00025897468337694697;0.00136909740928966,43.11653666666666;5.882384999999999 
22:06:29,632.611674594879;1562.4647322781877;843.1037743536845,1884.7592803263535,20;20;20,0.000632611674594879;0.0015624647322781877;0.0008431037743536845,43.11653666666666;5.882384999999999 
22:06:33,400.5006820329029;735.6271889432282;1911.3479228941674,2086.815526052359,11;11;11,0.0004005006820329029;0.0007356271889432283;0.0019113479228941674,43.11653666666666;5.882384999999999 
22:06:36,821.1506909020738;913.8779965019216;485.24419798211227,1320.9554804514128,38;38;38,0.0008211506909020738;0.0009138779965019217;0.0004852441979821123,43.11653666666666;5.882384999999999 
22:06:39,25.15158723195407;1194.563849204381;477.79598625500876,1286.8194887581049,1;1;1,2.515158723195407e-05;0.0011945638492043811;0.00047779598625500875,43.11653666666666;5.882384999999999 
22:06:43,378.24146498362217;1098.7028827857964;506.5052075163496,1267.5812225320935,17;17;17,0.00037824146498362216;0.0010987028827857965;0.0005065052075163497,43.11653666666666;5.882384999999999 
