Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:15:07,201.39226298014344;1346.4609807809184;402.177246685012,1419.5994343845425,8;8;8,43.116605;5.882431666666667 
22:15:11,14.140753555297675;474.53638045310845;144.24753257434375,496.17747625062077,2;2;2,43.116605;5.882431666666667 
22:15:15,47.02112302144382;264.8916036256152;794.4391316509094,838.7562706649643,3;3;3,43.116605;5.882431666666667 
22:15:18,30.28976845105475;769.4689800135296;1608.0343705431587,1782.91180884642,1;1;1,43.116605;5.882431666666667 
22:15:22,42.707819093068494;1108.7753639888765;232.07046571096691,1133.6063984715581,2;2;2,43.116605;5.882431666666667 
22:15:26,1031.8042745749153;943.2431292597456;657.3972731876232,1544.829711237231,42;42;42,43.116605;5.882431666666667 
22:15:29,210.96844613075254;701.90822540601;368.2593898328346,820.2425375189281,15;15;15,43.116605;5.882431666666667 
22:15:33,62.872733179727774;263.9987659231824;156.81023289997498,313.42906395003786,12;12;12,43.116605;5.882431666666667 
22:15:37,184.27808554013626;497.6510258038844;226.83190259931683,577.1201506885911,19;19;19,43.116605;5.882431666666667 
22:15:41,109.64570717493696;3575.0138135751085;1075.7721669896619,3734.9741235548563,2;2;2,43.116605;5.882431666666667 
22:15:44,529.7426804002125;3544.0556638272597;781.804106483472,3667.720752273556,8;8;8,43.116605;5.882431666666667 
22:15:48,39.33037367820743;338.54572615623806;549.8689381059077,646.9280764397542,3;3;3,43.116605;5.882431666666667 
22:15:52,342.8958159955343;2668.8826805178314;648.9658177057862,2767.9719896606302,7;7;7,43.116605;5.882431666666667 
22:15:55,114.6149225997922;4026.5290721797974;1928.4502540238684,4465.981788121888,1;1;1,43.116605;5.882431666666667 
22:15:59,24.266231409708578;281.44838099161734;111.75123295784672,303.7933166105388,5;5;5,43.116605;5.882431666666667 
22:16:03,351.9495145130156;808.1783576361346;2835.901938934321,2969.740817945032,7;7;7,43.116605;5.882431666666667 
22:16:07,312.0392951202395;4651.641408866243;362.8718126074482,4676.196346472556,4;4;4,43.116605;5.882431666666667 
22:16:10,568.2955620288851;495.90650074005146;158.98808352471505,770.817951270487,48;48;48,43.116605;5.882431666666667 
